Edad,ix ind Hombre,iy ind Mujer,ix col Hombre,iy col Mujer
18,0.000064,0.000054,0.0001051,0.00009
19,0.000071,0.00006,0.0001164,0.0001
20,0.00008,0.000065,0.0001292,0.0001
21,0.000088,0.000072,0.0001448,0.00012
22,0.000099,0.00008,0.0001605,0.00013
23,0.00011,0.000088,0.0001789,0.00014
24,0.000122,0.000098,0.0002002,0.00016
25,0.000137,0.000108,0.0002215,0.00017
26,0.000151,0.000119,0.0002471,0.00019
27,0.000169,0.000132,0.0002755,0.00021
28,0.000188,0.000145,0.0003067,0.00023
29,0.000209,0.00016,0.0003408,0.00026
30,0.000233,0.000178,0.0003806,0.00029
31,0.00026,0.000196,0.0004232,0.00031
32,0.000289,0.000217,0.0004714,0.00035
33,0.000322,0.00024,0.000524,0.00039
34,0.000359,0.000264,0.0005836,0.00042
35,0.000399,0.000293,0.0006504,0.00047
36,0.000445,0.000324,0.0007242,0.00052
37,0.000494,0.000358,0.0008051,0.00057
38,0.000551,0.000395,0.0008974,0.00063
39,0.000614,0.000436,0.0009983,0.0007
40,0.000682,0.000483,0.0011119,0.00077
41,0.00076,0.000534,0.0012382,0.00086
42,0.000846,0.000589,0.0013774,0.00095
43,0.000942,0.000652,0.0015336,0.00105
44,0.001049,0.00072,0.0017083,0.00116
45,0.001167,0.000797,0.0019014,0.00128
46,0.0013,0.00088,0.0021172,0.00141
47,0.001447,0.000973,0.0023572,0.00156
48,0.001611,0.001075,0.0026242,0.00173
49,0.001794,0.001189,0.0029209,0.00191
50,0.001997,0.001314,0.0032518,0.00211
51,0.002223,0.001451,0.003621,0.00233
52,0.002475,0.001605,0.0040314,0.00257
53,0.002756,0.001774,0.0044872,0.00285
54,0.003069,0.00196,0.0049956,0.00315
55,0.003416,0.002166,0.0055621,0.00348
56,0.003803,0.002394,0.0061926,0.00384
57,0.004234,0.002645,0.0068941,0.00425
58,0.004714,0.002924,0.0076751,0.00469
59,0.005247,0.003232,0.0085456,0.00519
60,0.005842,0.003573,0.009514,0.00573
61,0.006504,0.003949,0.0105918,0.00634
62,0.007241,0.004364,0.0117917,0.00701
63,0.008063,0.004824,0.0131293,0.00774
64,0.008977,0.005332,0.0146161,0.00856
